ticker,announced,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
SNDR,2024-07-23,2024-07-24,2024-07-29,26.0,26.260000228881836,8946,2325.9620475769043,2147.042047576904,0.009230778033916767,232596.0,6
AVTR,2024-07-23,2024-07-24,2024-07-24,22.56999969482422,22.3700008392334,11076,-2215.187324523926,-2436.7073245239258,-0.009747401797319064,249985.31661987305,1
GTES,2024-07-16,2024-07-17,2024-07-18,17.860000610351562,17.229999542236328,13997,-8818.124950408936,-9098.064950408936,-0.036394235492830676,249986.42854309082,2
PTGX,2024-06-27,2024-06-28,2024-07-01,35.459999084472656,35.20000076293945,7050,-1832.988166809082,-1973.988166809082,-0.007896173963969721,249992.99354553223,4
RYAN,2024-06-20,2024-06-21,2024-06-26,58.88999938964844,57.59000015258789,4245,-5518.4967613220215,-5603.396761322021,-0.02241465869827422,249988.04740905762,6
SRPT,2024-05-29,2024-05-30,2024-05-30,122.94999694824219,124.44999694824219,2033,3049.5,3008.84,0.012037413881539422,249957.34379577637,1
IAC,2024-05-01,2024-05-02,2024-05-02,42.78916931152344,44.01968765258789,5842,7188.688148498535,7071.848148498535,0.028290297767908562,249974.32711791992,1
DUOL,2024-04-17,2024-04-18,2024-04-18,208.8800048828125,205.05999755859375,1196,-4568.728759765625,-4592.648759765625,-0.01838379564560572,249820.48583984375,1
ROIV,2024-03-26,2024-03-27,2024-03-27,10.720000267028809,10.84000015258789,23320,2798.397331237793,2331.997331237793,0.009328347301132888,249990.40622711182,1
APPF,2024-03-25,2024-03-26,2024-03-27,242.99000549316406,247.6699981689453,1028,4811.032470703125,4790.472470703125,0.019177713364479706,249793.72564697266,2
CXM,2024-02-28,2024-02-29,2024-02-29,13.600000381469727,13.029999732971191,18382,-10477.751920700073,-10845.391920700073,-0.04338239940804876,249995.2070121765,1
AMH,2024-02-26,2024-02-27,2024-02-28,37.22999954223633,36.189998626708984,6715,-6983.606147766113,-7117.9061477661135,-0.02847168757885168,249999.44692611694,2
PSTG,2024-01-02,2024-01-03,2024-01-03,37.130001068115234,36.52000045776367,6733,-4107.13410949707,-4241.79410949707,-0.01696742774652288,249996.29719161987,1
SATS,2023-12-27,2023-12-28,2023-12-28,15.119999885559082,16.079999923706055,11077,10633.920422554016,10412.380422554015,0.06216931516280993,167484.23873233795,1
RUSHA,2023-12-19,2023-12-20,2023-12-28,47.02000045776367,49.06999969482422,4054,8310.696907043457,8229.616907043457,0.043173101176041465,190619.08185577393,9
CG,2023-11-27,2023-11-28,2023-11-28,35.0,34.43000030517578,7142,-4070.9378204345703,-4213.7778204345705,-0.016857134137834823,249970.0,1
WPC,2023-11-27,2023-11-28,2023-11-28,61.38999938964844,61.61000061035156,4072,895.844970703125,814.404970703125,0.0032578795030392058,249980.07751464844,1
CWEN,2023-11-27,2023-11-28,2023-11-28,24.68000030517578,25.219999313354492,10129,5469.649953842163,5267.069953842163,0.021069651610565784,249983.7230911255,1
CWEN-A,2023-11-27,2023-11-28,2023-11-28,22.829999923706055,24.239999771118164,2926,4125.659553527832,4067.139553527832,0.060884794220641726,66800.57977676392,1
CNM,2023-11-08,2023-11-09,2023-11-09,32.36000061035156,31.729999542236328,7725,-4866.758251190186,-5021.258251190186,-0.020086559204430518,249981.00471496582,1
