ticker,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
SNDR,2024-07-25,2024-07-29,25.059999465942383,26.260000228881836,9427,11312.407192230225,11123.867192230224,0.0470870226690597,236240.61496543884,5
AVTR,2024-07-25,2024-07-25,22.100000381469727,22.81999969482422,11312,8144.632232666016,7918.392232666016,0.03167417652813361,249995.20431518555,1
GTES,2024-07-18,2024-07-19,17.43000030517578,17.290000915527344,14343,-2008.011245727539,-2294.871245727539,-0.009179540266612975,249998.49437713623,2
SRPT,2024-05-31,2024-05-31,125.4800033569336,129.86000061035156,1992,8724.954528808594,8685.114528808594,0.034746550340899796,249956.16668701172,1
DOCN,2024-05-02,2024-05-06,35.880001068115234,34.849998474121094,6967,-7176.028072357178,-7315.368072357178,-0.029264285472032095,249975.96744155884,5
IAC,2024-05-03,2024-05-03,44.22477340698242,45.17637252807617,5652,5378.438232421875,5265.398232421875,0.021065096535840353,249958.41929626465,1
DUOL,2024-04-19,2024-04-19,203.99000549316406,200.14999389648438,1225,-4704.014205932617,-4728.514205932617,-0.01892255254049219,249887.75672912598,1
ROIV,2024-03-28,2024-03-28,10.8100004196167,10.539999961853027,23126,-6244.030586242676,-6706.550586242676,-0.026827053330859604,249992.0697040558,1
APPF,2024-03-27,2024-03-28,251.61000061035156,246.74000549316406,993,-4835.9051513671875,-4855.765151367187,-0.019434820179346713,249848.7306060791,2
CXM,2024-03-01,2024-03-01,13.149999618530273,13.420000076293945,19011,5132.978702545166,4752.758702545166,0.019011442206537,249994.64274787903,1
AMH,2024-02-28,2024-02-29,35.959999084472656,37.0099983215332,6952,7299.594696044922,7160.554696044922,0.028642916109119017,249993.9136352539,2
BTU,2024-01-19,2024-01-22,25.549999237060547,25.600000381469727,9784,489.21119689941406,293.53119689941406,0.0011742131234846655,249981.1925354004,4
PSTG,2024-01-04,2024-01-04,36.290000915527344,36.79999923706055,6888,3512.868438720703,3375.108438720703,0.013502295650908852,249965.52630615234,1
SATS,2023-12-29,2023-12-29,16.0,16.56999969482422,15625,8906.245231628418,8593.745231628418,0.03437498092651367,250000.0,1
CG,2023-11-29,2023-11-29,34.380001068115234,34.52000045776367,7271,1017.9355621337891,872.515562133789,0.0034903835346220377,249976.98776626587,1
WPC,2023-11-29,2023-11-29,62.029998779296875,62.189998626708984,4030,644.7993850708008,564.1993850708008,0.0022569700172045738,249980.8950805664,1
CWEN,2023-11-29,2023-11-29,25.229999542236328,25.25,9908,198.16453552246094,0.004535522460940911,1.8143625849418827e-08,249978.83546447754,1
